samp_country,category,fermented_food_type,sample_id,absolute-filepath
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.11.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.13.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.28.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.10.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.4.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.6.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.16.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.1.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.15.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.7.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.19.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.25.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.27.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.23.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.9.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.29.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.24.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.20.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.22.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.3.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.17.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.26.fa
Thailand,fermented fish,Shrimp_paste_(Ka-pi)_from_yellow_shrimp,M004,/home/jovyan/Interplanetary_Microbiome/data/raw/PacBio_MAGs/M004/metabat2.30.fa
